,url,app,lang_key,restriction,keyword
257,app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,email
258,app=core&module=settings&controller=contactus,core,menu__core_settings_contactus,contactus_manage,contact us
259,app=core&module=settings&controller=advanced&tab=settings&searchResult=task_use_cron,core,task_use_cron,advanced_manage_server,tasks
260,app=core&module=settings&controller=advanced&tab=settings&searchResult=task_use_cron,core,task_use_cron,advanced_manage_server,cronjob
261,app=core&module=settings&controller=advanced&tab=settings&searchResult=task_use_cron,core,task_use_cron,advanced_manage_server,cron job
262,app=core&module=settings&controller=advanced&tab=furl,core,furls_customize,advanced_manage_furls,furl
263,app=core&module=settings&controller=advanced&tab=furl,core,furls_customize,advanced_manage_furls,seo
264,app=core&module=settings&controller=advanced&tab=datastore&searchResult=cache_method,core,cache_method,datastore,xcache
265,app=core&module=settings&controller=advanced&tab=furl,core,furls_customize,advanced_manage_furls,friendly
266,app=core&module=settings&controller=advanced&tab=datastore&searchResult=cache_method,core,cache_method,datastore,apc
267,app=core&module=settings&controller=advanced&tab=datastore&searchResult=cache_method,core,cache_method,datastore,memcached
268,app=core&module=settings&controller=advanced&tab=datastore&searchResult=cache_method,core,cache_method,datastore,redis
269,app=core&module=settings&controller=advanced&tab=datastore&searchResult=cache_method,core,cache_method,datastore,wincache
270,app=core&module=settings&controller=advanced&tab=datastore&searchResult=cache_guest_page,core,cache_guest_page,advanced_manage_server,output cache
271,app=core&module=settings&controller=advanced&tab=datastore,core,data_store,datastore,storage
272,app=core&module=settings&controller=advanced&tab=datastore&searchResult=cache_guest_page,core,cache_guest_page,advanced_manage_server,cache
273,app=core&module=settings&controller=advanced&tab=datastore&searchResult=cache_guest_page,core,cache_guest_page,advanced_manage_server,guest cache
274,app=core&module=settings&controller=advanced&do=tasks,core,task_manager,,cron
275,app=core&module=settings&controller=advanced&do=tasks,core,task_manager,,cronjob
276,app=core&module=settings&controller=advanced&do=tasks,core,task_manager,,task
277,app=core&module=settings&controller=advanced&do=tasks,core,task_manager,,tasklog
278,app=core&module=settings&controller=advanced&do=tasks,core,task_manager,,tasks
279,app=core&module=settings&controller=advanced&searchResult=form_auto_polling_enabled,core,auto_polling_enabled,advanced_manage,auto
280,app=core&module=settings&controller=advanced&searchResult=form_auto_polling_enabled,core,auto_polling_enabled,advanced_manage,automatic
281,app=core&module=settings&controller=advanced&searchResult=form_auto_polling_enabled,core,auto_polling_enabled,advanced_manage,polling
282,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,stumbleupon
283,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,twitter
284,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,share links
285,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,facebook
286,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,google
287,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,linkedin
288,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,reddit
289,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,digg
290,app=core&module=promotion&controller=sharelinks,core,menu__core_promotion_sharelinks,sharelinks_manage,delicious
291,app=core&module=promotion&controller=seo&tab=urls,core,seo_tab_furls,seo_manage,urls
